File,Codec,Sample Rate (Hz),Max Frequency (Hz),Stated Bit Rate,Estimated Quality,Is True Lossless,Error
128.flac,flac,44100,15977.64,782,128 kbps Equivalent (Transcoded),No,no
128.m4a,aac,44100,15988.40,204,128 kbps Equivalent (AAC),No,no
128.mp3,mp3,44100,15977.64,128,128 kbps Equivalent (MP3),No,no
128.ogg,vorbis,44100,15945.34,160,128 kbps Equivalent (VORBIS),No,no
128smol.flac,flac,44100,15633.11,908,128 kbps Equivalent (Transcoded),No,no
192.flac,flac,44100,18669.29,938,192 kbps Equivalent (Transcoded),No,no
192.mp3,mp3,44100,18669.29,192,192 kbps Equivalent (MP3),No,no
256-192k.flac,flac,192000,19406.25,2123,256 kbps Equivalent (Transcoded),No,no
256.flac,flac,44100,19347.58,952,256 kbps Equivalent (Transcoded),No,no
256.m4a,aac,44100,19336.82,335,256 kbps Equivalent (AAC),No,no
256.mp3,mp3,44100,19347.58,256,256 kbps Equivalent (MP3),No,no
256.opus,opus,48000,20003.91,121,320 kbps Equivalent (OPUS),No,no
320.flac,flac,44100,20025.88,954,320 kbps Equivalent (Transcoded),No,no
320.m4a,aac,44100,20025.88,333,320 kbps Equivalent (AAC),No,no
320.mp3,mp3,48000,20039.06,320,320 kbps Equivalent (MP3),No,no
320.ogg,vorbis,44100,20004.35,160,320 kbps Equivalent (VORBIS),No,no
320.opus,opus,48000,20015.62,121,320 kbps Equivalent (OPUS),No,no
32044.mp3,mp3,44100,20025.88,320,320 kbps Equivalent (MP3),No,no
dark29.m4a,aac,48000,20929.69,207,256 kbps Equivalent (AAC),No,no
fake128.flac,flac,44100,15977.64,782,128 kbps Equivalent (Transcoded),No,no
fake128.m4a,aac,44100,15977.64,327,128 kbps Equivalent (AAC),No,no
fake128.mp3,mp3,44100,15945.34,320,128 kbps Equivalent (MP3),No,no
fake128.ogg,vorbis,44100,15977.64,160,128 kbps Equivalent (VORBIS),No,no
fake128.wav,pcm_s16le,44100,15977.64,1411,128 kbps Equivalent (Transcoded),No,no
realm4a.m4a,aac,44100,22050.00,332,320 kbps Equivalent (AAC),No,no
vibal special zone out edition.wav,N/A,N/A,N/A,N/A,N/A,N/A,Processing timed out after 90s.
vibal16.wav,N/A,N/A,N/A,N/A,N/A,N/A,Processing timed out after 90s.
vibal17.wav,N/A,N/A,N/A,N/A,N/A,N/A,Processing timed out after 90s.
